13047,2010/12/1,84879,1.69,32
13047,2010/12/1,22745,2.1,6
13047,2010/12/1,22748,2.1,6
13047,2010/12/1,22749,3.75,8
13047,2010/12/1,22310,1.65,6
13047,2010/12/1,84969,4.25,6
13047,2010/12/1,22623,4.95,3
13047,2010/12/1,22622,9.95,2
13047,2010/12/1,21754,5.95,3
13047,2010/12/1,21755,5.95,3
13047,2010/12/1,21777,7.95,4
13047,2010/12/1,48187,7.95,4
13047,2010/12/1,22960,4.25,6
13047,2010/12/1,22913,4.95,3
13047,2010/12/1,22912,4.95,3
13047,2010/12/1,22914,4.95,3
13047,2010/12/1,21756,5.95,3
13748,2010/12/1,22086,2.55,80
17809,2010/12/1,22961,1.45,24
17420,2010/12/1,22783,19.95,1
17420,2010/12/1,22961,1.45,12
17420,2010/12/1,22960,4.25,6
17420,2010/12/1,22663,1.95,10
17420,2010/12/1,85049A,1.25,12
17420,2010/12/1,22168,8.5,2
17420,2010/12/1,22662,1.65,10
16250,2010/12/1,21754,5.95,3
16250,2010/12/1,21755,5.95,3
16250,2010/12/1,21523,7.95,2
16250,2010/12/1,21363,4.95,3
16250,2010/12/1,21411,4.25,3
16250,2010/12/1,22318,2.95,6
16250,2010/12/1,22464,1.65,12
16250,2010/12/1,22915,0.42,12
16250,2010/12/1,22922,0.85,12
16250,2010/12/1,22969,1.45,12
16250,2010/12/1,22923,0.85,12
16250,2010/12/1,21115,6.75,4
16250,2010/12/1,22469,1.65,12
16250,2010/12/1,22242,1.65,12
13705,2010/12/1,22150,1.95,6
13705,2010/12/1,22619,3.75,4
13705,2010/12/1,21891,1.25,12
13705,2010/12/1,21889,1.25,12
13705,2010/12/1,22827,165,1
13705,2010/12/1,22127,1.25,12
13705,2010/12/1,22128,1.25,12
13705,2010/12/1,22502,5.95,4
13705,2010/12/1,84879,1.69,16
13705,2010/12/1,22338,0.65,24
13767,2010/12/1,22188,3.95,8
13767,2010/12/1,84879,1.69,32
13767,2010/12/1,21977,0.55,24
13767,2010/12/1,84991,0.55,24
13767,2010/12/1,21212,0.55,24
13767,2010/12/1,21484,3.45,8
13767,2010/12/1,21314,2.1,8
13767,2010/12/1,22730,3.75,4
13767,2010/12/1,22727,3.75,8
13767,2010/12/1,22729,3.75,8
13767,2010/12/1,22726,3.75,8
13767,2010/12/1,22114,3.95,8
13767,2010/12/1,22867,2.1,48
13767,2010/12/1,22866,2.1,48
13448,2010/12/1,21980,0.29,24
13448,2010/12/1,21844,2.95,6
13448,2010/12/1,22468,6.75,4
13448,2010/12/1,22637,2.55,8
13448,2010/12/1,22752,8.5,6
13448,2010/12/1,48185,7.95,2
13448,2010/12/1,22632,2.1,12
13448,2010/12/1,22866,2.1,12
13448,2010/12/1,22865,2.1,12
13448,2010/12/1,21232,1.25,12
13448,2010/12/1,22064,1.65,12
13448,2010/12/1,22449,3.35,6
13448,2010/12/1,22114,3.95,4
13448,2010/12/1,22835,4.65,8
13448,2010/12/1,22112,4.95,9
13448,2010/12/1,21479,3.75,4
13448,2010/12/1,22111,4.95,9
13448,2010/12/1,22969,1.45,12
14045,2010/12/1,20914,2.55,128
13694,2010/12/1,21154,1.06,200
13694,2010/12/1,22189,3.39,72
13694,2010/12/1,17021,0.24,600
13694,2010/12/1,22059,1.25,48
13694,2010/12/1,22188,3.39,36
13694,2010/12/1,84678,1.25,48
14849,2010/12/1,22670,1.25,12
14849,2010/12/1,21586,2.55,12
14849,2010/12/1,84992,0.55,24
14849,2010/12/1,84879,1.69,24
14849,2010/12/1,84849B,1.69,12
14849,2010/12/1,22927,5.95,2
14849,2010/12/1,22926,5.95,4
